make,model,year,mileage,hp,gear,fuel,price
Volkswagen,T-Roc Cabriolet,2018,10,150,automatic,gasoline,42180
Volkswagen,T-Cross,2022,4900,110,automatic,gasoline,31170
Volkswagen,Golf,2019,42806,290,automatic,gasoline,32389
Volkswagen,up,2019,29340,60,manual,gasoline,11110
Volkswagen,T6,2017,55333,150,automatic,diesel,35890
Volkswagen,up,2019,59060,60,manual,gasoline,10250
Volkswagen,Golf,2019,0,150,automatic,Hybrid - gasoline,49102
Volkswagen,Tiguan,2021,14500,200,automatic,diesel,46488
Volkswagen,Golf Variant,2019,62834,150,automatic,diesel,22930
Volkswagen,Touareg,2022,6900,286,automatic,diesel,92990
Volkswagen,Golf,2022,5907,131,manual,gasoline,27020
Volkswagen,Tiguan,2018,56600,190,automatic,diesel,30950
Volkswagen,T6,2018,87630,102,manual,diesel,25840
Volkswagen,Golf Variant,2022,13730,116,manual,diesel,31909
Volkswagen,Tiguan,2019,46383,239,automatic,diesel,39790
Volkswagen,T-Roc,2021,5330,190,automatic,gasoline,38740
Volkswagen,Golf,2021,9994,110,manual,gasoline,26480
Volkswagen,Passat Variant,2021,14949,156,manual,diesel,34890
Volkswagen,Golf,2018,79330,136,automatic,electric,22950
Volkswagen,Golf,2021,8364,150,automatic,gasoline,35397
Volkswagen,up,2019,46200,75,manual,gasoline,12780
Volkswagen,Caddy,2019,0,114,manual,gasoline,28100
Volkswagen,Tiguan,2021,18300,150,automatic,gasoline,37385
Volkswagen,Tiguan,2021,13537,150,manual,diesel,37930
Volkswagen,Passat Alltrack,2020,66930,190,automatic,diesel,35700
Volkswagen,Golf,2018,85895,131,manual,gasoline,17777
Volkswagen,T-Roc,2021,11550,150,manual,gasoline,25590
Volkswagen,T6 Multivan,2019,45700,199,automatic,diesel,52410
Volkswagen,Sharan,2019,51300,150,manual,diesel,35690
Volkswagen,Golf Variant,2020,16203,150,automatic,diesel,27010
Volkswagen,T6 Multivan,2022,4437,150,automatic,diesel,59930
Volkswagen,T-Roc,2022,5000,150,automatic,gasoline,30450
Volkswagen,T7 Multivan,2022,12000,150,automatic,Hybrid - gasoline,72490
Volkswagen,T-Roc,2021,9941,150,manual,gasoline,28451
Volkswagen,Crafter,2021,25881,140,manual,diesel,43890
Volkswagen,Tiguan,2019,35081,150,manual,diesel,31990
Volkswagen,Touran,2022,16730,150,automatic,gasoline,37850
Volkswagen,Tiguan,2022,24400,190,automatic,gasoline,40450
Volkswagen,Golf,2022,9007,110,automatic,gasoline,28790
Volkswagen,T-Roc,2021,10023,110,manual,gasoline,24949
Volkswagen,T-Roc,2021,6234,150,manual,gasoline,33430
Volkswagen,Touran,2019,69985,150,automatic,diesel,28990
Volkswagen,up,2020,25000,60,manual,gasoline,12950
Volkswagen,T-Roc,2019,46143,190,automatic,gasoline,29985
Volkswagen,Tiguan,2020,16477,190,automatic,diesel,38400
Volkswagen,Tiguan,2019,15700,150,manual,diesel,26990
Volkswagen,Golf,2019,0,150,automatic,gasoline,48200
Volkswagen,Touran,2019,0,150,automatic,gasoline,54580
Volkswagen,Golf Variant,2021,25200,150,automatic,diesel,32950
Volkswagen,Golf,2018,61450,116,automatic,diesel,18490
Volkswagen,Golf,2018,40785,230,automatic,gasoline,24470
Volkswagen,Passat Variant,2019,25000,218,automatic,Hybrid - gasoline,39840
Volkswagen,Caddy,2021,19249,102,manual,diesel,29990
Volkswagen,T-Roc,2021,4859,150,manual,gasoline,30480
Volkswagen,Golf Variant,2022,8000,150,automatic,gasoline,34350
Volkswagen,Golf Variant,2021,38698,150,automatic,diesel,27680
Volkswagen,Caddy,2021,16400,122,automatic,diesel,35950
Volkswagen,Caddy,2020,19800,102,manual,diesel,22990
Volkswagen,Golf Sportsvan,2019,32990,150,automatic,diesel,26880
Volkswagen,T-Roc,2021,14708,190,automatic,gasoline,37480
Volkswagen,T-Roc,2020,0,150,automatic,gasoline,41770
Volkswagen,T-Cross,2022,25548,110,automatic,gasoline,24430
Volkswagen,T6 Multivan,2020,31996,150,automatic,diesel,57980
Volkswagen,T6 Multivan,2021,26980,150,automatic,diesel,61980
Volkswagen,Tiguan,2022,50,200,automatic,diesel,57890
